                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.916,                 4.9765,                 2.3657,                0.04283,                  7e-05,                0.00042,                  4e-05,                 2.5867,                 4.3323,                 1.9725,               0.070667,              0.0032593,              0.0032593
                      1,                 2.3324,                 4.1988,                 1.8748,                0.01065,                0.04101,                0.00808,                0.00389,                 2.1896,                 5.0126,                 1.6726,               0.040667,              0.0065926,              0.0065926
                      2,                 2.1012,                 3.6428,                 1.6268,                0.08058,                0.09213,                0.03219,                0.01674,                 2.0799,                    inf,                 1.6164,               0.010667,              0.0099259,              0.0099259
                      3,                 2.0313,                 3.6545,                 1.6055,                0.06407,                0.07044,                0.04862,                0.02789,                 2.0445,                 3.6302,                 1.6013,              0.0099998,              0.0099998,              0.0099998
                      4,                 2.0557,                 3.7826,                 1.6019,                0.06552,                0.06737,                 0.0484,                 0.0273,                 2.0413,                 3.5351,                 1.5999,              0.0099998,              0.0099998,              0.0099998
                      5,                 2.0888,                 3.5878,                 1.6458,                0.25888,                0.07716,                0.03179,                0.01579,                 2.2716,                 6.6843,                 1.6316,              0.0099997,              0.0099997,              0.0099997
                      6,                 2.0364,                 3.3035,                 1.4891,                 0.1763,                0.08785,                0.05556,                0.03187,                 1.9838,                 4.8599,                 1.4728,              0.0099996,              0.0099996,              0.0099996
                      7,                 1.9236,                 3.3271,                 1.4344,                0.05408,                0.11559,                 0.0503,                0.02725,                 1.9323,                    inf,                 1.4749,              0.0099994,              0.0099994,              0.0099994
                      8,                  2.018,                 3.3947,                 1.5084,                0.15777,                0.04745,                0.09351,                0.05469,                 1.9168,                 3.4714,                 1.4642,              0.0099992,              0.0099992,              0.0099992
                      9,                 1.8976,                 3.0793,                 1.4046,                0.12724,                0.13856,                0.10053,                0.06428,                  1.889,                 3.6187,                 1.4184,              0.0099989,              0.0099989,              0.0099989
                     10,                 1.8777,                  3.152,                 1.4912,                0.20126,                0.08032,                0.12924,                0.08048,                 1.8754,                 2.8298,                 1.4692,              0.0099986,              0.0099986,              0.0099986
                     11,                 1.8508,                 2.9304,                 1.4611,                0.18232,                0.09148,                 0.1218,                0.06481,                 1.9763,                 2.7816,                 1.5465,              0.0099983,              0.0099983,              0.0099983
                     12,                 2.0811,                 2.8911,                 1.5953,                0.25528,                0.09935,                0.16474,                0.10031,                 1.8808,                 2.6091,                 1.4329,              0.0099979,              0.0099979,              0.0099979
                     13,                 1.9398,                 2.6464,                 1.4441,                 0.2284,                0.18318,                0.18267,                0.09714,                 2.1087,                 2.5546,                 1.5655,              0.0099975,              0.0099975,              0.0099975
                     14,                 1.9258,                 2.8779,                 1.4394,                0.38427,                 0.0367,                0.20896,                0.12813,                 1.9061,                 2.6628,                 1.4719,              0.0099971,              0.0099971,              0.0099971
