                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6658,                  4.448,                 1.8335,                0.73377,                0.06143,                0.02153,                0.01028,                 2.1814,                 6.7992,                 1.4306,               0.070462,              0.0032821,              0.0032821
                      1,                 2.1693,                 3.3681,                 1.4864,                0.21041,                0.11311,                0.02876,                0.01419,                 2.0046,                 4.1248,                 1.3631,               0.040448,              0.0066023,              0.0066023
                      2,                 2.1155,                 3.0981,                 1.4765,                0.25485,                0.10117,                0.03176,                0.01523,                 2.1859,                 7.8066,                 1.4576,               0.010422,              0.0099093,              0.0099093
                      3,                 2.1995,                 2.9953,                 1.4733,                0.41563,                0.12003,                0.04774,                0.02092,                 2.3716,                 3.3205,                 1.5552,              0.0099406,              0.0099406,              0.0099406
                      4,                 2.1526,                 2.8441,                  1.488,                0.28909,                0.13448,                0.06727,                0.02729,                  2.235,                 3.0366,                 1.4351,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.1164,                 2.8917,                 1.3805,                0.38219,                0.14962,                0.08556,                0.03651,                 2.3564,                  2.696,                 1.4799,              0.0099208,              0.0099208,              0.0099208
                      6,                  2.219,                 3.0608,                  1.484,                0.32626,                0.16186,                0.09705,                0.04212,                 2.3052,                 2.5793,                 1.4546,               0.009901,               0.009901,               0.009901
                      7,                 2.0301,                 2.6359,                 1.4351,                 0.2989,                0.18141,                0.12133,                 0.0624,                 2.0131,                 2.4938,                 1.3303,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.9773,                 2.7802,                 1.3326,                0.47132,                0.18808,                0.13931,                0.07405,                 1.8429,                 2.4598,                 1.2447,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.8922,                 2.6311,                  1.317,                0.32031,                0.17516,                0.12738,                0.06253,                  2.044,                 2.4741,                 1.2898,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.0022,                 2.3236,                 1.3114,                0.33716,                 0.2041,                0.15906,                0.07717,                 1.9378,                 2.1775,                 1.2782,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.0107,                 2.2783,                 1.2978,                0.47812,                0.22691,                0.19171,                0.09377,                  2.026,                 2.0936,                 1.3013,               0.009802,               0.009802,               0.009802
                     12,                 1.9746,                 2.1886,                 1.3546,                0.45303,                0.23512,                0.20474,                0.09832,                 2.0561,                  2.059,                  1.327,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.9611,                 2.1035,                 1.3261,                 0.4786,                0.24911,                0.21763,                0.10761,                 1.9631,                 2.0687,                 1.2912,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.8971,                 2.0097,                 1.2844,                 0.5101,                 0.2539,                0.24264,                 0.1244,                 1.9315,                 2.0281,                 1.2667,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.8438,                 2.0577,                 1.3103,                0.46917,                0.26046,                0.22954,                0.12336,                 1.8485,                 2.0658,                 1.2668,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.8504,                 2.0478,                 1.2572,                0.43565,                0.27632,                0.23621,                0.12751,                 1.8197,                 1.9957,                 1.2494,               0.009703,               0.009703,               0.009703
                     17,                 1.8533,                 1.9639,                 1.2566,                0.48381,                0.22796,                0.21241,                0.11607,                 1.8619,                 2.1204,                 1.2679,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.8242,                 1.9053,                 1.2867,                0.52691,                0.27487,                 0.2604,                0.13024,                 1.9289,                 1.9469,                  1.272,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.8491,                 1.8476,                 1.2478,                0.47256,                0.27088,                0.25936,                0.13341,                 1.9168,                 2.0254,                  1.274,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.8636,                 1.8546,                 1.2325,                0.50716,                0.29297,                0.28184,                 0.1491,                 1.8377,                 2.0151,                 1.2406,              0.0096238,              0.0096238,              0.0096238
                     21,                   1.79,                 1.8248,                 1.2611,                0.51033,                0.31606,                0.30176,                 0.1625,                 1.7989,                 1.8529,                 1.2126,               0.009604,               0.009604,               0.009604
                     22,                 1.7895,                 1.6934,                 1.2139,                0.51496,                0.29988,                0.30542,                0.16764,                   1.81,                  1.859,                 1.2257,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.7334,                  1.741,                 1.2108,                0.61603,                0.32781,                0.35316,                0.19704,                 1.7276,                 1.7895,                 1.1939,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.6966,                 8.2802,                 1.1718,                0.58388,                0.33074,                0.31894,                0.16767,                 1.7919,                 1.8861,                 1.2346,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.7509,                 1.7359,                 1.2511,                0.57829,                0.34362,                0.34766,                0.18345,                 1.8253,                 1.7635,                 1.2459,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.7982,                 1.6859,                 1.2708,                0.58134,                0.36796,                0.36289,                 0.1903,                 1.8127,                 1.6881,                 1.2243,               0.009505,               0.009505,               0.009505
                     27,                 1.8013,                 1.6066,                 1.2076,                0.58274,                 0.3681,                0.36827,                0.19673,                  1.776,                 1.6506,                 1.2055,              0.0094852,              0.0094852,              0.0094852
                     28,                  1.748,                 1.6511,                 1.2405,                0.57328,                 0.3732,                0.37983,                0.20813,                 1.7398,                 1.6587,                 1.2073,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.7718,                  1.574,                 1.2207,                0.54438,                0.37153,                0.36381,                0.17862,                 1.9397,                 1.6712,                 1.2778,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.7357,                 1.6227,                 1.2298,                0.59514,                0.38522,                0.39216,                0.21379,                 1.7224,                 1.6105,                 1.1878,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.7204,                 1.5813,                 1.2152,                 0.5799,                0.36105,                0.37591,                0.19308,                 1.8335,                  1.666,                 1.2272,               0.009406,               0.009406,               0.009406
                     32,                 1.7493,                 1.6664,                 1.2565,                 0.6172,                0.38353,                 0.3946,                0.20921,                 1.7966,                 1.6174,                 1.2125,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.6974,                 1.5508,                 1.2144,                0.56522,                0.38282,                0.38204,                0.20428,                 1.7829,                 1.6193,                 1.2122,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.6867,                 3.5996,                 1.1796,                0.62869,                0.34963,                0.35315,                0.18343,                 1.8545,                 1.7976,                 1.2468,              0.0093466,              0.0093466,              0.0093466
