                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4065,                 10.548,                 2.3848,                0.02297,                0.00033,                 0.0116,                0.00533,                 1.2966,                 7.9409,                 1.8786,               0.070462,              0.0032821,              0.0032821
                      1,                 1.3186,                 9.0148,                 1.9435,                0.01218,                0.05465,                0.01387,                0.00649,                 1.0689,                    inf,                 1.6469,               0.040462,              0.0066154,              0.0066154
                      2,                 1.1153,                 34.396,                 1.7365,                0.02885,                0.02087,                0.01918,                0.00982,                 1.0324,                 7.8127,                 1.6314,               0.010462,              0.0099487,              0.0099487
                      3,                 1.1055,                 8.8695,                 1.8599,                0.03478,                0.01457,                0.02109,                0.01081,                 1.0419,                 7.4149,                  1.644,                   0.01,                   0.01,                   0.01
                      4,                 1.1483,                  9.559,                 1.7834,                 0.0353,                0.01626,                0.02147,                0.01103,                  1.035,                 7.5816,                 1.6259,                   0.01,                   0.01,                   0.01
                      5,                 1.1518,                 8.7782,                 1.7686,                0.00568,                0.00357,                0.00316,                0.00172,                 1.0906,                 8.1104,                 1.5969,                   0.01,                   0.01,                   0.01
                      6,                 1.1805,                 16.392,                 1.6858,                0.04167,                  6e-05,                0.02086,                0.01252,                 1.0689,                 7.6037,                 1.5831,              0.0099999,              0.0099999,              0.0099999
                      7,                   1.15,                 8.1176,                 1.6785,                0.06496,                 0.0187,                0.03677,                 0.0215,                 1.0398,                 7.8977,                 1.6029,              0.0099999,              0.0099999,              0.0099999
                      8,                 1.0273,                 24.008,                  1.608,                0.04589,                0.01301,                0.02642,                0.01702,                0.98805,                 6.9208,                 1.5229,              0.0099999,              0.0099999,              0.0099999
                      9,                 1.0291,                 7.5287,                 1.5785,                0.02471,                0.00914,                0.01515,                0.00843,                 1.0096,                 7.4683,                 1.5586,              0.0099998,              0.0099998,              0.0099998
                     10,                 1.0601,                 7.6143,                 1.5109,                0.11161,                0.05722,                0.02274,                0.01118,                 1.0243,                 12.232,                 1.5417,              0.0099998,              0.0099998,              0.0099998
                     11,                 1.0837,                 9.2175,                 1.5486,                0.02331,                0.01294,                0.01764,                0.00858,                 1.0317,                 7.5276,                  1.511,              0.0099997,              0.0099997,              0.0099997
