                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2788,                  9.108,                 2.2394,                0.05729,                0.04905,                0.03462,                0.01782,                 1.0734,                    inf,                 1.6807,               0.070462,              0.0032821,              0.0032821
                      1,                 1.0574,                 7.2387,                 1.8123,                0.05653,                 0.0831,                 0.0511,                0.02612,                0.97928,                 9.3778,                 1.5601,               0.040462,              0.0066154,              0.0066154
                      2,                 1.0112,                 6.6914,                 1.6372,                0.08238,                0.09621,                0.06226,                0.03668,                0.93253,                    inf,                 1.4666,               0.010462,              0.0099487,              0.0099487
                      3,                0.97799,                 6.7084,                 1.6154,                0.09529,                0.03976,                0.05824,                0.03816,                0.92931,                 8.8706,                 1.4564,                   0.01,                   0.01,                   0.01
                      4,                0.97878,                 8.7904,                 1.6048,                0.14804,                 0.0927,                0.09507,                0.04596,                0.94629,                 9.2321,                 1.4431,                   0.01,                   0.01,                   0.01
                      5,                0.96117,                 9.2403,                 1.5484,                0.19589,                0.03406,                0.11002,                 0.0663,                0.88818,                 5.5619,                 1.3929,                   0.01,                   0.01,                   0.01
                      6,                0.90537,                 6.0668,                 1.5302,                0.12438,                 0.1305,                 0.0754,                0.03875,                0.97704,                 8.7067,                 1.5062,              0.0099999,              0.0099999,              0.0099999
                      7,                0.93803,                 8.4509,                 1.5408,                0.18029,                0.05241,                0.10926,                0.06185,                0.90486,                 5.6329,                 1.4177,              0.0099999,              0.0099999,              0.0099999
                      8,                0.90593,                 5.7645,                 1.4646,                 0.2475,                0.11321,                0.16337,                0.10055,                0.84583,                 5.5317,                 1.3566,              0.0099999,              0.0099999,              0.0099999
                      9,                0.88003,                 5.9859,                 1.4591,                0.36478,                0.09264,                0.22178,                0.13426,                0.90205,                 4.7904,                 1.4117,              0.0099998,              0.0099998,              0.0099998
                     10,                0.89558,                 5.3389,                 1.5007,                0.34723,                0.06473,                0.20533,                0.12516,                0.87553,                 4.7352,                 1.3807,              0.0099998,              0.0099998,              0.0099998
                     11,                0.89381,                 4.8991,                 1.4478,                0.45506,                0.04896,                0.25177,                0.16098,                0.89326,                 4.2272,                 1.4041,              0.0099997,              0.0099997,              0.0099997
                     12,                0.90443,                 4.6426,                 1.4894,                0.43245,                0.04873,                0.24173,                0.16186,                0.83711,                 4.0187,                 1.3392,              0.0099997,              0.0099997,              0.0099997
                     13,                0.85957,                 4.6428,                 1.4696,                0.37953,                0.05737,                0.21963,                  0.143,                0.80514,                 4.0874,                 1.3069,              0.0099996,              0.0099996,              0.0099996
                     14,                0.84465,                 4.5246,                 1.4145,                0.48595,                0.07502,                0.28189,                0.18672,                0.79932,                 3.8778,                 1.3042,              0.0099995,              0.0099995,              0.0099995
                     15,                0.82123,                 4.2256,                 1.3905,                 0.3508,                0.05454,                0.20495,                0.13768,                0.80002,                 4.0611,                 1.2831,              0.0099995,              0.0099995,              0.0099995
                     16,                0.81064,                 4.0787,                  1.415,                0.50574,                0.14058,                0.32405,                0.20409,                0.82887,                 3.8043,                 1.3283,              0.0099994,              0.0099994,              0.0099994
                     17,                 0.8065,                 3.8284,                 1.3579,                0.55947,                0.15368,                 0.3585,                0.23373,                0.78638,                 3.3101,                 1.2783,              0.0099993,              0.0099993,              0.0099993
                     18,                0.79772,                 3.7796,                 1.3917,                0.61825,                0.14079,                0.38214,                0.24828,                0.80409,                 3.2625,                 1.2943,              0.0099992,              0.0099992,              0.0099992
                     19,                0.80157,                 3.5199,                 1.3888,                0.64009,                0.18621,                0.42003,                0.26309,                0.81378,                 3.1641,                 1.3115,              0.0099991,              0.0099991,              0.0099991
                     20,                0.81204,                 3.5011,                 1.3817,                 0.6317,                0.18686,                0.41432,                0.25098,                0.81567,                 3.2015,                 1.3079,               0.009999,               0.009999,               0.009999
                     21,                0.80971,                 3.3649,                 1.3719,                0.54452,                 0.1299,                 0.3378,                0.20868,                0.79106,                 3.2416,                 1.2661,              0.0099989,              0.0099989,              0.0099989
                     22,                0.79349,                 3.3623,                  1.342,                0.60325,                0.09141,                0.34764,                0.22905,                0.77427,                 3.0575,                 1.2466,              0.0099988,              0.0099988,              0.0099988
                     23,                0.77575,                 3.3235,                 1.2834,                0.66503,                0.11538,                0.39132,                0.25426,                0.78685,                 3.3609,                 1.2665,              0.0099987,              0.0099987,              0.0099987
                     24,                 0.7817,                 3.1112,                 1.3526,                0.68145,                0.08315,                0.38185,                0.24514,                0.85668,                 3.5037,                 1.3467,              0.0099985,              0.0099985,              0.0099985
                     25,                0.79157,                 3.1245,                 1.3712,                0.68817,                0.13922,                0.41207,                0.26766,                 0.8024,                 3.1163,                 1.2897,              0.0099984,              0.0099984,              0.0099984
                     26,                0.80852,                 3.0743,                 1.3337,                0.64953,                0.16098,                0.40421,                0.25794,                0.81991,                 3.0307,                 1.3059,              0.0099983,              0.0099983,              0.0099983
                     27,                0.78145,                 3.0116,                  1.325,                0.71447,                0.15658,                0.43751,                0.28086,                0.76791,                 2.8439,                  1.248,              0.0099981,              0.0099981,              0.0099981
                     28,                0.77784,                 2.9341,                 1.3192,                0.70427,                0.14723,                0.42806,                0.27575,                0.82973,                 3.1459,                 1.3373,               0.009998,               0.009998,               0.009998
                     29,                0.78736,                 2.8875,                 1.3688,                0.72492,                0.15139,                0.43939,                0.27811,                0.80436,                 2.8663,                  1.298,              0.0099979,              0.0099979,              0.0099979
                     30,                0.78368,                 2.8229,                 1.3272,                0.67047,                0.19091,                0.43458,                0.27294,                 0.7826,                 2.7815,                 1.2544,              0.0099977,              0.0099977,              0.0099977
                     31,                0.78133,                 2.8013,                 1.3235,                0.66803,                0.05136,                0.36039,                0.23871,                 0.9668,                  5.008,                 1.5211,              0.0099975,              0.0099975,              0.0099975
                     32,                0.78794,                 2.8643,                  1.281,                 0.6453,                0.15927,                0.40555,                0.26016,                0.77671,                 2.8897,                 1.2586,              0.0099974,              0.0099974,              0.0099974
                     33,                0.74972,                 2.7824,                 1.3169,                   0.71,                0.14087,                0.42701,                0.28125,                0.77166,                 2.9095,                 1.2477,              0.0099972,              0.0099972,              0.0099972
                     34,                0.74898,                 2.6285,                 1.2955,                 0.6586,                0.21529,                0.44356,                 0.2825,                 0.7758,                  2.771,                 1.2638,               0.009997,               0.009997,               0.009997
                     35,                0.77498,                 2.7821,                 1.2981,                0.71025,                0.15533,                0.43614,                0.28444,                 0.7889,                 2.7395,                 1.2552,              0.0099968,              0.0099968,              0.0099968
                     36,                 0.8009,                 2.7163,                 1.2919,                0.57934,                0.24395,                 0.4169,                0.26308,                0.78616,                 2.7357,                 1.2732,              0.0099966,              0.0099966,              0.0099966
                     37,                0.76387,                  2.662,                 1.3245,                   0.63,                0.26667,                0.45194,                0.28744,                0.77034,                 2.5838,                 1.2486,              0.0099964,              0.0099964,              0.0099964
                     38,                0.75292,                 2.5365,                 1.3572,                0.74215,                0.28446,                 0.5194,                0.33233,                0.78962,                 2.5664,                  1.273,              0.0099962,              0.0099962,              0.0099962
                     39,                0.80048,                 2.5955,                 1.3148,                 0.7365,                0.29172,                0.51952,                0.33203,                0.79561,                 2.5383,                 1.2675,               0.009996,               0.009996,               0.009996
                     40,                0.79673,                 2.5536,                 1.3134,                0.74781,                0.27692,                0.51642,                0.32814,                0.77527,                 2.5818,                 1.2516,              0.0099958,              0.0099958,              0.0099958
                     41,                0.74239,                  2.367,                  1.303,                0.78593,                0.24561,                0.52139,                0.34035,                0.75313,                   2.56,                 1.2345,              0.0099956,              0.0099956,              0.0099956
                     42,                0.74196,                 2.4461,                 1.3008,                 0.8342,                 0.2123,                0.52352,                0.34156,                0.75583,                 2.5532,                 1.2358,              0.0099954,              0.0099954,              0.0099954
                     43,                0.74451,                  2.433,                 1.2824,                0.80923,                0.23447,                 0.5225,                0.33688,                0.77897,                  2.466,                 1.2554,              0.0099952,              0.0099952,              0.0099952
                     44,                0.74745,                 2.2868,                 1.2806,                0.77648,                0.22802,                0.50894,                0.32489,                0.80901,                 2.8563,                 1.3057,              0.0099949,              0.0099949,              0.0099949
                     45,                0.77693,                 2.2671,                 1.3198,                0.75035,                0.30687,                0.53558,                0.33672,                0.78342,                 2.4071,                 1.2468,              0.0099947,              0.0099947,              0.0099947
                     46,                0.75611,                 2.2171,                 1.3149,                 0.7511,                0.34267,                0.55488,                0.34338,                0.78178,                 2.3949,                 1.2512,              0.0099944,              0.0099944,              0.0099944
                     47,                0.75864,                 2.2038,                 1.2854,                 0.7776,                 0.2824,                0.53299,                0.32513,                0.80457,                 2.4924,                 1.2719,              0.0099942,              0.0099942,              0.0099942
                     48,                0.74719,                 2.1921,                 1.2556,                0.81792,                0.23397,                0.52571,                0.32606,                 0.7789,                 2.4879,                 1.2444,              0.0099939,              0.0099939,              0.0099939
                     49,                0.72537,                 2.1942,                 1.2448,                0.82929,                0.25536,                0.54415,                0.35661,                0.75121,                 2.4123,                 1.2205,              0.0099937,              0.0099937,              0.0099937
                     50,                0.72307,                 3.4859,                  1.259,                  0.856,                0.19637,                0.52739,                0.34871,                0.75137,                 2.4415,                 1.2208,              0.0099934,              0.0099934,              0.0099934
                     51,                0.72311,                 2.2203,                 1.2375,                0.75496,                0.32132,                0.54426,                 0.3479,                0.76412,                 2.4846,                 1.2433,              0.0099931,              0.0099931,              0.0099931
                     52,                0.71154,                 2.0656,                 1.2575,                 0.7825,                0.29206,                 0.5408,                0.33863,                 0.7766,                  2.443,                 1.2606,              0.0099929,              0.0099929,              0.0099929
                     53,                0.71893,                   2.08,                 1.2394,                0.69172,                0.36387,                0.53602,                0.33006,                0.80106,                 2.5153,                 1.2885,              0.0099926,              0.0099926,              0.0099926
                     54,                0.73186,                 1.9846,                  1.296,                0.72184,                0.37271,                0.55551,                0.33698,                0.81068,                 2.3405,                 1.3043,              0.0099923,              0.0099923,              0.0099923
                     55,                 0.7309,                 1.9653,                 1.2722,                0.72327,                0.40831,                0.57857,                0.35144,                0.80338,                 2.3672,                 1.2774,               0.009992,               0.009992,               0.009992
                     56,                 0.7383,                 2.0729,                 1.2337,                0.73498,                0.33453,                0.54774,                 0.3222,                0.83353,                 2.8686,                 1.3268,              0.0099917,              0.0099917,              0.0099917
