                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2398,                 9.1021,                 2.3663,                0.04421,                0.05248,                 0.0318,                0.01486,                 1.0153,                 7.8079,                 1.5784,               0.070476,              0.0032804,              0.0032804
                      1,                  1.036,                 7.2885,                 1.9481,                0.05954,                 0.0488,                 0.0399,                0.02078,                0.98457,                 6.8017,                 1.4844,               0.040476,              0.0066138,              0.0066138
                      2,                0.98375,                 7.5688,                 1.8074,                0.16902,                0.09232,                0.06471,                0.03348,                 0.9376,                 7.7096,                 1.4226,               0.010476,              0.0099471,              0.0099471
                      3,                0.93822,                 8.1205,                  1.683,                0.06908,                0.12714,                0.04928,                0.02368,                 0.9304,                    inf,                 1.3967,                   0.01,                   0.01,                   0.01
                      4,                0.95148,                 13.051,                 1.6689,                0.11475,                0.06955,                0.06936,                0.03771,                0.94927,                 10.999,                 1.3983,                   0.01,                   0.01,                   0.01
                      5,                0.93326,                 6.5926,                 1.6748,                0.15827,                0.04224,                0.09522,                0.05494,                0.87339,                 5.7745,                 1.3609,                   0.01,                   0.01,                   0.01
                      6,                0.89241,                 6.5663,                 1.6106,                0.18096,                0.11929,                0.13031,                0.07296,                0.89498,                 6.5103,                 1.3398,              0.0099999,              0.0099999,              0.0099999
                      7,                0.91116,                 6.7493,                 1.6869,                0.17526,                0.07963,                0.11479,                0.06353,                0.90924,                 5.2275,                 1.4108,              0.0099999,              0.0099999,              0.0099999
                      8,                0.90934,                 5.8674,                 1.6046,                0.24389,                0.04994,                0.14147,                0.08942,                0.87531,                 5.3057,                 1.3557,              0.0099999,              0.0099999,              0.0099999
                      9,                0.85948,                 5.7202,                 1.5411,                 0.2082,                0.07881,                0.14406,                 0.0872,                0.84348,                  4.989,                 1.3064,              0.0099998,              0.0099998,              0.0099998
                     10,                0.87084,                 5.6462,                 1.5693,                0.27767,                0.03938,                0.15826,                0.09932,                0.84761,                 4.6947,                  1.311,              0.0099998,              0.0099998,              0.0099998
                     11,                0.84439,                 5.1575,                 1.5501,                0.47404,                0.06204,                0.26796,                0.17796,                0.83475,                 4.4896,                 1.2963,              0.0099997,              0.0099997,              0.0099997
                     12,                0.83901,                  4.868,                 1.5802,                0.47957,                0.12547,                0.29906,                0.18477,                0.87233,                 4.2607,                 1.3294,              0.0099997,              0.0099997,              0.0099997
                     13,                0.86366,                 5.2274,                 1.5891,                0.51316,                0.10113,                0.30876,                0.19635,                 0.8423,                 4.4573,                 1.3119,              0.0099996,              0.0099996,              0.0099996
                     14,                0.86762,                 4.6329,                 1.5189,                0.54392,                  0.123,                0.33005,                0.20423,                0.85943,                 4.2426,                  1.294,              0.0099995,              0.0099995,              0.0099995
                     15,                0.87052,                 4.5144,                 1.5438,                0.58841,                0.13531,                 0.3667,                0.23096,                  0.821,                 3.9461,                 1.2617,              0.0099995,              0.0099995,              0.0099995
                     16,                0.88189,                 4.1755,                 1.5304,                0.56979,                0.15773,                 0.3636,                0.22031,                0.88444,                 3.7724,                 1.3434,              0.0099994,              0.0099994,              0.0099994
                     17,                0.85262,                 3.8627,                 1.5266,                0.62497,                0.10977,                0.36624,                0.22681,                 0.9145,                 4.4402,                 1.4323,              0.0099993,              0.0099993,              0.0099993
                     18,                0.85487,                 3.8793,                 1.5111,                0.61869,                 0.1493,                0.38454,                0.23629,                0.83578,                 3.7018,                  1.287,              0.0099992,              0.0099992,              0.0099992
                     19,                0.83628,                 3.8945,                 1.4754,                0.63886,                 0.1747,                0.41182,                0.27124,                0.79942,                 3.5361,                 1.2431,              0.0099991,              0.0099991,              0.0099991
                     20,                0.78524,                 7.5155,                 1.4218,                0.60718,                0.17565,                0.39539,                0.25178,                0.79615,                 3.5078,                 1.2349,               0.009999,               0.009999,               0.009999
                     21,                0.81425,                 8.9797,                 1.4729,                0.60149,                0.22071,                0.41544,                0.25098,                0.82119,                 3.4026,                 1.2646,              0.0099989,              0.0099989,              0.0099989
                     22,                0.82114,                 3.6183,                 1.4787,                0.55798,                0.28212,                0.42882,                0.26021,                0.80254,                 3.2625,                 1.2548,              0.0099988,              0.0099988,              0.0099988
                     23,                0.81413,                  4.217,                  1.505,                0.54422,                0.24116,                0.39593,                0.23952,                0.81552,                 3.3793,                 1.2534,              0.0099987,              0.0099987,              0.0099987
                     24,                0.85093,                 3.6353,                 1.5131,                 0.5479,                0.26253,                0.41586,                0.25018,                0.82107,                 3.3796,                  1.265,              0.0099986,              0.0099986,              0.0099986
                     25,                0.81493,                 3.6566,                 1.4389,                0.57753,                0.19455,                0.38996,                0.24158,                0.84122,                 3.5767,                 1.2976,              0.0099984,              0.0099984,              0.0099984
                     26,                0.80351,                 3.4325,                 1.4429,                0.62592,                0.18629,                0.40749,                0.25375,                0.83024,                 3.4037,                 1.2731,              0.0099983,              0.0099983,              0.0099983
                     27,                0.80695,                 3.4062,                 1.4389,                0.64592,                0.23677,                 0.4479,                0.27204,                0.83363,                  3.464,                 1.2877,              0.0099981,              0.0099981,              0.0099981
                     28,                0.80387,                 3.2253,                 1.4594,                 0.6101,                0.29943,                0.46555,                0.27853,                0.81834,                 3.0961,                 1.2638,               0.009998,               0.009998,               0.009998
                     29,                0.81538,                 3.2377,                 1.4728,                0.65279,                0.33108,                0.50866,                0.30386,                0.81387,                 3.0685,                 1.2636,              0.0099979,              0.0099979,              0.0099979
                     30,                0.80311,                 3.1435,                 1.4356,                0.68143,                0.29475,                0.49949,                0.31095,                0.81758,                 3.0431,                 1.2654,              0.0099977,              0.0099977,              0.0099977
                     31,                0.80617,                  3.094,                 1.4398,                0.67274,                0.33326,                 0.5173,                0.30999,                0.82218,                 2.9717,                 1.2647,              0.0099975,              0.0099975,              0.0099975
                     32,                0.79902,                 3.1426,                 1.4432,                0.67922,                0.35661,                0.53395,                0.33023,                0.79583,                 2.8486,                 1.2461,              0.0099974,              0.0099974,              0.0099974
                     33,                0.80188,                 3.1868,                 1.4805,                0.72355,                0.31729,                  0.533,                0.32647,                0.81508,                 2.9741,                 1.2622,              0.0099972,              0.0099972,              0.0099972
                     34,                0.79898,                  3.353,                 1.4413,                 0.7134,                0.30384,                0.52402,                0.32401,                0.79153,                 2.9512,                 1.2333,               0.009997,               0.009997,               0.009997
                     35,                0.75152,                 5.9358,                 1.3853,                0.74813,                0.17152,                0.46602,                0.29593,                0.83864,                 3.8262,                 1.3412,              0.0099968,              0.0099968,              0.0099968
                     36,                0.77866,                 3.8219,                 1.4011,                0.63452,                0.37162,                0.52316,                0.32302,                0.78946,                 2.9478,                 1.2405,              0.0099966,              0.0099966,              0.0099966
                     37,                0.77973,                 2.9896,                 1.4205,                0.64241,                0.38189,                 0.5358,                0.32301,                 0.7976,                 2.8831,                  1.258,              0.0099964,              0.0099964,              0.0099964
